valid_remaining,defected_cnt,skipped_cnt,invalid_cnt,quit_cnt,reorged_cnt,defection_sf,skip_sf,invalid_sf,cur_month_1st_calc,total_sf_period_one_claim,cur_month_total_sf,individual_sf_period_one_claim,cur_month_individual_sf,claimed
54,6,6,6,0,1,100.0,100.0,100.0,16.666666666666668,300.0,200.0,6.25,4.166666666666667,True
41,6,13,12,0,1,100.0,100.0,222.22222222222223,18.51851851851852,300.0,322.22222222222223,6.25,7.859078590785908,True
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
