valid_remaining,defected_cnt,skipped_cnt,invalid_cnt,quit_cnt,reorged_cnt,defection_sf,skip_sf,invalid_sf,cur_month_1st_calc,total_sf_period_one_claim,cur_month_total_sf,individual_sf_period_one_claim,cur_month_individual_sf,claimed
53,7,7,0,0,0,116.66666666666667,116.66666666666667,0.0,16.666666666666668,233.33333333333334,116.66666666666667,4.40251572327044,2.20125786163522,False
47,7,10,3,0,0,116.66666666666667,116.66666666666667,56.60377358490567,18.867924528301888,233.33333333333334,173.27044025157232,4.40251572327044,3.6866051117355814,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
