valid_remaining,defected_cnt,skipped_cnt,invalid_cnt,quit_cnt,reorged_cnt,defection_sf,skip_sf,invalid_sf,cur_month_1st_calc,total_sf_period_one_claim,cur_month_total_sf,individual_sf_period_one_claim,cur_month_individual_sf,claimed
52,6,6,2,0,0,100.0,100.0,33.333333333333336,16.666666666666668,233.33333333333334,133.33333333333334,4.487179487179487,2.5641025641025643,False
35,6,17,8,0,0,100.0,100.0,153.84615384615384,19.23076923076923,233.33333333333334,253.84615384615384,4.487179487179487,7.252747252747253,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,0,0,0,0,0,0,0,0,0,0,0,0,0,False
